Estacao;Data;Hora;TempMaxima;Umidade Relativa Media;
83582;01/01/2011;0000;24.4;89.5;
83582;02/01/2011;0000;24.8;90.25;
83582;03/01/2011;0000;26.4;93.75;
83582;04/01/2011;0000;25.6;89.5;
83582;05/01/2011;0000;28.6;89.5;
83582;06/01/2011;0000;30.3;86.25;
83582;07/01/2011;0000;28;86.75;
83582;08/01/2011;0000;29.4;77.75;
83582;09/01/2011;0000;30.3;71.75;
83582;10/01/2011;0000;29.6;88.75;
83582;11/01/2011;0000;29.4;79.5;
83582;12/01/2011;0000;29.6;82;
83582;13/01/2011;0000;28.4;91.75;
83582;14/01/2011;0000;30.9;86;
83582;15/01/2011;0000;29.6;88.5;
83582;16/01/2011;0000;29.8;88.25;
83582;17/01/2011;0000;30.7;86.25;
83582;18/01/2011;0000;30.3;87.25;
83582;19/01/2011;0000;32.1;71.75;
83582;20/01/2011;0000;32.5;76.5;
83582;21/01/2011;0000;31.9;69.5;
83582;22/01/2011;0000;31.1;74.25;
83582;23/01/2011;0000;30.7;72.5;
83582;24/01/2011;0000;31.1;72;
83582;25/01/2011;0000;31.5;72.75;
83582;26/01/2011;0000;31.5;72.25;
83582;27/01/2011;0000;32.5;70.25;
83582;28/01/2011;0000;32.5;72.5;
83582;29/01/2011;0000;33.7;72;
83582;30/01/2011;0000;35.3;70.5;
83582;31/01/2011;0000;33.3;76;
83582;01/02/2011;0000;32.1;78.75;
83582;02/02/2011;0000;32.7;73.5;
83582;03/02/2011;0000;32.7;75.5;
83582;04/02/2011;0000;31.5;71;
83582;05/02/2011;0000;32.1;74.5;
83582;06/02/2011;0000;32.9;67;
83582;07/02/2011;0000;33;64.75;
83582;08/02/2011;0000;32.1;71;
83582;09/02/2011;0000;33.1;67.75;
83582;10/02/2011;0000;33.7;70;
83582;11/02/2011;0000;28.8;80.25;
83582;12/02/2011;0000;34;76.75;
83582;13/02/2011;0000;32.3;71.25;
83582;14/02/2011;0000;31.3;78.5;
83582;15/02/2011;0000;31.1;80.75;
83582;16/02/2011;0000;31.3;76;
83582;17/02/2011;0000;31.5;79;
83582;18/02/2011;0000;31;75.75;
83582;19/02/2011;0000;30;74.75;
83582;20/02/2011;0000;33.7;64;
83582;21/02/2011;0000;31.9;73.25;
83582;22/02/2011;0000;33.1;73.25;
83582;23/02/2011;0000;32.7;71;
83582;24/02/2011;0000;32.7;74.5;
83582;25/02/2011;0000;32.1;82.25;
83582;26/02/2011;0000;32;82;
83582;27/02/2011;0000;39.1;87;
83582;28/02/2011;0000;28;;
83582;01/03/2011;0000;31.6;82.25;
83582;02/03/2011;0000;24.8;87.75;
83582;03/03/2011;0000;23;92.25;
83582;04/03/2011;0000;22.8;96;
83582;05/03/2011;0000;24.7;94.5;
83582;06/03/2011;0000;26.4;92.5;
83582;07/03/2011;0000;26;90.25;
83582;08/03/2011;0000;28.4;87.75;
